workload,repetition,status,load_throughput_ops_s,load_durable_ops_s,run_throughput_ops_s,run_durable_ops_s,read_operation,read_operations,read_avg_us,read_p95_us,read_p99_us,read_max_us,write_operation,write_operations,write_avg_us,write_p95_us,write_p99_us,write_max_us,load_imr_write_total,load_imr_extra_writes,load_imr_wa,run_imr_write_total,run_imr_extra_writes,run_imr_wa,load_lsm_ingest_records,load_metadata_compaction_input_bytes,load_metadata_compaction_output_bytes,load_metadata_wa,run_lsm_ingest_records,run_metadata_compaction_input_bytes,run_metadata_compaction_output_bytes,run_metadata_wa,run_compaction_count,run_l0_compaction_count,kernel_issue_count,review
workloada,1,PASS,118063.75442739078,24449.878,11205.737337516808,8291.874,READ,49801,5.072448344410755,8,11,8735,UPDATE,50199,10.2832725751509,13,25,9543,29100,0,1.000000,43435,0,1.000000,29100,3538752,3538656,4.800103,43435,5111616,5111552,4.677587,35,10,0,none
workloadb,1,PASS,138888.88888888888,26455.026,12062.726176115802,11859.583,READ,94932,5.029916150507732,7,11,6275,UPDATE,5068,12.60852407261247,17,44,1404,29100,0,1.000000,30349,0,1.000000,29100,3538688,3538560,4.800000,30349,3670016,3670016,4.778971,25,7,0,none
workloadc,1,PASS,135869.5652173913,23934.897,13285.505513484788,13095.862,READ,100000,4.56119,7,11,7099,NONE,NA,NA,NA,NA,NA,29100,0,1.000000,28881,0,1.000000,29100,3538752,3538656,4.800103,28881,3538944,3538944,4.829230,23,7,0,none
workloadd,1,PASS,132978.72340425532,26518.165,12473.493825620557,12172.855,READ,94987,2.899165148915115,7,9,2259,INSERT,5013,8.570915619389588,9,25,3089,29100,0,1.000000,30333,0,1.000000,29100,3538688,3538560,4.800000,30333,3670016,3670016,4.780965,23,7,0,none
workloade,1,PASS,142857.14285714287,27540.622,6652.032195835828,6600.660,SCAN,94949,79.22448893616573,151,170,18815,INSERT,5051,15.94238764601069,19,41,9847,29100,0,1.000000,30353,0,1.000000,29100,3538688,3538560,4.800000,30353,3670016,3670016,4.778473,24,7,0,none
workloadf,1,PASS,127064.80304955527,24437.928,11532.695190866105,7426.662,READ,100000,4.73837,8,10,1262,READ-MODIFY-WRITE,50292,11.620158275670086,16,30,3759,29100,0,1.000000,43462,0,1.000000,29100,3537408,3536640,4.797938,43462,5242688,5242624,4.769546,32,10,0,none
workloada,2,PASS,141242.93785310735,27144.408,13570.362328674175,7568.877,READ,49995,4.941034103410341,8,12,3453,UPDATE,50005,10.38008199180082,14,26,9927,29100,0,1.000000,43379,0,1.000000,29100,3538688,3538560,4.800000,43379,5242688,5242624,4.776758,33,10,0,none
workloadb,2,PASS,135317.99729364004,29078.220,11851.149561507465,11684.973,READ,95060,4.942005049442457,7,16,2917,UPDATE,4940,13.825101214574898,21,40,4959,29100,0,1.000000,30312,0,1.000000,29100,3407616,3407488,4.659244,30312,3670016,3670016,4.783584,20,7,0,none
workloadc,2,PASS,145560.40756914119,26301.946,14289.797084881395,14027.213,READ,100000,4.70095,7,9,9071,NONE,NA,NA,NA,NA,NA,29100,0,1.000000,28881,0,1.000000,29100,3538688,3538560,4.800000,28881,3538944,3538944,4.829230,23,7,0,none
workloadd,2,PASS,132625.99469496022,22207.417,13386.880856760376,13166.557,READ,94927,2.6874756391753665,7,9,2427,INSERT,5073,6.340429726000394,10,29,741,29100,0,1.000000,30356,0,1.000000,29100,3538688,3538560,4.800000,30356,3538944,3538944,4.643168,21,7,0,none
